,time,current,mrpm,T,T1,T2
0,0,50.0,150,40.0,40.0,40.0
1,1,50.0,150,40.0509003695679,40.00046370302448,40.050436666543426
2,2,50.0,150,40.10179543056758,40.000927401435035,40.10086802913254
3,3,50.0,150,40.15268518355683,40.00139109523171,40.15129408832511
4,4,50.0,150,40.20356962909341,40.00185478441456,40.20171484467885
5,5,50.0,150,40.25444876773503,40.002318468983624,40.252130298751396
6,6,50.0,150,40.305322600039304,40.00278214893895,40.302540451100356
7,7,50.0,150,40.35619112656383,40.00324582428058,40.35294530228325
8,8,50.0,150,40.407054347866136,40.00370949500857,40.403344852857565
9,9,50.0,150,40.45791226450366,40.00417316112296,40.453739103380705
10,10,50.0,150,40.508764877033826,40.00463682262379,40.50412805441003
11,11,50.0,150,40.55961218601395,40.00510047951111,40.55451170650284
12,12,50.0,150,40.61045419200134,40.005564131784965,40.60489006021638
13,13,50.0,150,40.66129089555322,40.006027779445404,40.65526311610782
14,14,50.0,150,40.712122297226756,40.00649142249247,40.70563087473429
15,15,50.0,150,40.762948397579066,40.00695506092622,40.75599333665285
16,16,50.0,150,40.81376919716719,40.00741869474668,40.80635050242051
17,17,50.0,150,40.86458469654812,40.007882323953915,40.85670237259421
18,18,50.0,150,40.9153948962788,40.008345948547955,40.90704894773084
19,19,50.0,150,40.9661997969161,40.008809568528854,40.95739022838724
20,20,50.0,150,41.01699939901684,40.00927318389666,41.00772621512017
21,21,50.0,150,41.06779370313777,40.00973679465142,41.05805690848635
22,22,50.0,150,41.11858270983559,40.01020040079317,41.108382309042426
23,23,50.0,150,41.16936641966696,40.01066400232196,41.158702417345
24,24,50.0,150,41.22014483318844,40.01112759923784,41.209017233950604
25,25,50.0,150,41.27091795095657,40.01159119154085,41.25932675941572
26,26,50.0,150,41.32168577352782,40.01205477923104,41.309630994296775
27,27,50.0,150,41.372448301458576,40.01251836230846,41.35992993915012
28,28,50.0,150,41.423205535305215,40.01298194077315,41.41022359453206
29,29,50.0,150,41.473957475624005,40.01344551462516,41.46051196099884
30,30,50.0,150,41.52470412297117,40.01390908386453,41.51079503910665
31,31,50.0,150,41.57544547790292,40.01437264849131,41.56107282941161
32,32,50.0,150,41.626181540975324,40.01483620850554,41.61134533246979
33,33,50.0,150,41.67691231274449,40.01529976390728,41.661612548837205
34,34,50.0,150,41.72763779376638,40.015763314696564,41.711874479069806
35,35,50.0,150,41.77835798459692,40.01622686087344,41.762131123723485
36,36,50.0,150,41.82907288579203,40.01669040243795,41.81238248335408
37,37,50.0,150,41.87978249790751,40.01715393939015,41.86262855851736
38,38,50.0,150,41.93048682149913,40.01761747173008,41.912869349769046
39,39,50.0,150,41.98118585712258,40.01808099945778,41.9631048576648
